feature,importance_mean,importance_std
same_workflow_failure_rate,0.16497359667554934,0.005006243589657375
repo_base_failure_rate,0.02897453727930693,0.0038788200088814557
workflow_name_has_test,0.014106574028601826,0.0023594927946868657
log1p_hours_since_last_run,0.008629670480070139,0.0014843262268481754
event_pull_request,0.0048364554847977895,0.0015309365801573942
workflow_name_has_build,0.004302568926173063,0.0008820474294099787
n_workflows_in_window,0.0025967685810613854,0.0005529380360083087
trend_failure_rate,0.0021646354008724943,0.0005746424035333968
is_main_branch,0.0016933551242106196,0.0008085668933294168
long_consecutive_successes,0.001603353701899668,0.0014207774425499062
event_push,0.0014918946165976888,0.000508212444064406
event_schedule,0.0014254250607612354,0.0003353349803498719
churn_vs_recent_mean,0.0013801895341170674,0.0010623426019505976
log_total_churn,0.0013069438741781718,0.0005257805740457413
day_of_week,0.001227822236176901,0.0005299942114950532
workflow_name_has_release_or_deploy,0.0011919625565457595,0.000539986433084903
failure_rate_last_N,0.001127075209835556,0.00028118944987671866
outcome_std_last_N,0.0010863626767712833,0.00035720358156281505
consecutive_failures,0.0009950641784275257,0.0008108908434654551
files_changed_vs_recent_mean,0.0008788864199717102,0.0005686983606940795
failure_acceleration,0.0007461206244928742,0.0006264363023870917
src_changed_vs_recent_mean,0.0007141689454950158,0.0006997452951134922
failure_recency_score,0.0006462737241914669,0.0002836851573469117
test_changed_vs_recent_mean,0.0005743251402854366,0.00027962929352291034
log_files_changed_count,0.0005550702702122175,0.00045962356062519805
dependency_files_changed,0.0003256219926844328,0.00019916225968416077
ci_config_changed,0.00030145276988344423,0.0002461426277835618
docs_only_change,0.00021536493905079576,0.0003911700776473786
log_lines_deleted,0.00012610709912070178,0.00039719199175258736
change_touches_build_or_deps,0.0001186936386918395,8.350827493507868e-05
workflow_name_has_lint,0.00010693609172200969,0.0002234763037795985
test_files_changed,0.0001018707861801249,0.0001205580320962308
build_files_changed,9.856659680341403e-05,0.0002066457590071212
failure_rate_last_5,5.506423209964047e-05,4.6128560261926854e-05
churn_x_recent_failure,4.055598940510367e-05,0.00014629154812069846
has_large_change,2.3682819288635877e-05,1.1365328399888326e-05
failed_2_ago,2.0015224988982154e-05,1.5006394469503806e-05
consecutive_successes,1.875169402596466e-05,0.00024083264402817206
failure_rate_last_3,5.4007562400112025e-06,7.172499434069818e-05
is_weekend,0.0,0.0
change_touches_tests,0.0,0.0
all_success_in_window,0.0,0.0
last_build_failed,0.0,0.0
churn_spike,0.0,0.0
change_touches_code,0.0,0.0
change_touches_ci,0.0,0.0
event_workflow_dispatch,0.0,0.0
pr_with_no_test_changes,-2.1055122153316546e-05,0.0001349270371892605
failed_3_ago,-2.3604547459169882e-05,0.00012000887955813453
current_failure_rate_vs_repo_recent_30,-3.0157017762855175e-05,0.00025845157602297664
src_files_changed,-5.56121349066796e-05,0.00017718690727966881
is_business_hours,-0.00012979705680038107,0.0001379611549967102
repo_recent_failure_rate_30,-0.0003558572822768835,0.0004894053403822845
log_lines_added,-0.0004329270801745833,0.00046077668768017293
