threshold,accuracy,precision,recall,f1,fpr,warnings,tp,fp,tn,fn
0.05,0.13052965681412418,0.13052965681412418,1.0,0.23091770486050184,1.0,5041,658,4383,0,0
0.075,0.13291013687760364,0.1308411214953271,1.0,0.23140495867768596,0.9972621492128679,5029,658,4371,12,0
0.1,0.18210672485617932,0.1376281112737921,1.0,0.24195624195624196,0.9406798996121378,4781,658,4123,260,0
0.125,0.23626264630033725,0.14596273291925466,1.0,0.25474254742547425,0.8783937942048825,4508,658,3850,533,0
0.15,0.2872445943265225,0.15429917550058891,0.9954407294832827,0.2671833571282888,0.8190736938170203,4245,655,3590,793,3
0.175,0.34100376909343383,0.16431451612903225,0.9908814589665653,0.28188499783830523,0.756559434177504,3968,652,3316,1067,6
0.2,0.3975401706010712,0.1757972199509403,0.9802431610942249,0.29812803327940834,0.6899383983572895,3669,645,3024,1359,13
0.225,0.44772862527276336,0.18772032902467686,0.9711246200607903,0.31462333825701627,0.6308464522016883,3404,639,2765,1618,19
0.25,0.4973219599285856,0.2020330368487929,0.9665653495440729,0.33420914345769837,0.5731234314396532,3148,636,2512,1871,22
0.275,0.5425510811346955,0.21566597653554176,0.9498480243161094,0.3515185601799775,0.5185945699292722,2898,625,2273,2110,33
0.3,0.5816306288434835,0.23019709929341764,0.9407294832826748,0.36988347774126085,0.4722792607802875,2689,619,2070,2313,39
0.325,0.6145606030549494,0.24207145724608592,0.9164133738601824,0.3829787234042553,0.4307551905087839,2491,603,1888,2495,55
0.35,0.6500694306685182,0.25893635571054924,0.9027355623100304,0.4024390243902439,0.38786219484371437,2294,594,1700,2683,64
0.375,0.6798254314620115,0.27367424242424243,0.878419452887538,0.41732851985559566,0.34998859228838697,2112,578,1534,2849,80
0.4,0.7123586589962309,0.29481865284974096,0.8647416413373861,0.43972179289026275,0.3105179101072325,1930,569,1361,3022,89
0.425,0.7359650862924023,0.311484593837535,0.8449848024316109,0.45517805976258696,0.2804015514487794,1785,556,1229,3154,102
0.45,0.7567942868478477,0.3282950423216445,0.8252279635258358,0.46972318339100344,0.25347935204198035,1654,543,1111,3272,115
0.475,0.7774251140646697,0.34776902887139105,0.8054711246200608,0.4857928505957837,0.2267853068674424,1524,530,994,3389,128
0.5,0.794088474509026,0.3663853727144866,0.7917933130699089,0.5009615384615385,0.2055669632671686,1422,521,901,3482,137
0.525,0.8097599682602659,0.3844973138910207,0.7613981762917933,0.5109637939826619,0.18297969427332877,1303,501,802,3581,157
0.55,0.8212656219004166,0.3991701244813278,0.7310030395136778,0.5163714439076758,0.1651836641569701,1205,481,724,3659,177
0.575,0.8345566355881769,0.4207207207207207,0.709726443768997,0.5282805429864253,0.14670317134382843,1110,467,643,3740,191
0.6,0.8442769291807181,0.4380487804878049,0.682370820668693,0.5335710041592394,0.13141683778234087,1025,449,576,3807,209
0.625,0.8539972227732593,0.4592050209205021,0.6671732522796353,0.5439900867410161,0.11795573807894136,956,439,517,3866,219
0.65,0.8603451696092045,0.4738636363636364,0.6337386018237082,0.5422626788036411,0.10563540953684691,880,417,463,3920,241
0.675,0.8686768498313827,0.4975429975429975,0.6155015197568389,0.5502717391304348,0.09331508099475246,814,405,409,3974,253
0.7,0.8758182900218211,0.521505376344086,0.5896656534954408,0.5534950071326676,0.08122290668491901,744,388,356,4027,270
0.725,0.8795873834556636,0.5386949924127465,0.5395136778115501,0.5391040242976461,0.06935888660734657,659,355,304,4079,303
0.75,0.883356476889506,0.5597269624573379,0.49848024316109424,0.5273311897106109,0.05886379192334018,586,328,258,4125,330
0.775,0.8849434635984924,0.5786290322580645,0.43617021276595747,0.49740034662045063,0.04768423454255077,496,287,209,4174,371
0.8,0.8877206903392184,0.6095238095238096,0.3890577507598784,0.4749536178107607,0.03741729409080539,420,256,164,4219,402
0.825,0.8891093037095814,0.6451612903225806,0.3343465045592705,0.44044044044044045,0.027606662103582022,341,220,121,4262,438
0.85,0.8889109303709581,0.6975806451612904,0.2629179331306991,0.3818984547461369,0.017111567419575632,248,173,75,4308,485
0.875,0.8831581035508828,0.7041420118343196,0.18085106382978725,0.2877871825876663,0.011407711613050422,169,119,50,4333,539
0.9,0.8797857567942868,0.75,0.11854103343465046,0.2047244094488189,0.00593201003878622,104,78,26,4357,580
